x_vel_set y_vel_set angular_vel_set motor_state_0 motor_state_1 motor_state_2 motor_state_3 motor_state_4 motor_state_5 motor_state_6 motor_state_7 motor_state_8 motor_state_9 motor_state_10 motor_state_11 ground_colision_0 ground_colision_1 ground_colision_2 ground_colision_3 orientation_quaternion_x orientation_quaternion_y orientation_quaternion_z orientation_quaternion_w angular_vel_x angular_vel_y angular_vel_z linear_acceleration_x linear_acceleration_y linear_acceleration_z linear_velocity_x linear_velocity_y linear_velocity_z action_0 action_1 action_2 action_3 action_4 action_5 action_6 action_7 action_8 action_9 action_10 action_11
0.013000 0.009000 0.000000 -0.306212 0.316186 -0.206748 -0.295234 0.317363 -0.254880 -0.354251 0.273722 -0.212416 -0.332829 0.390682 -0.269843 1 1 1 1 0.002877 -0.000303 0.164139 0.986433 -0.023947 -0.013557 0.098807 0.028099 -0.130678 0.927952 0.016669 0.002192 0.000000 -19.734620 15.256441 -17.623833 -15.487988 15.056624 -17.148783 -20.653465 14.784844 -17.581472 -16.524826 15.459648 -16.754726
0.013000 0.009000 0.000000 -0.273011 0.303366 -0.251994 -0.258592 0.360474 -0.242537 -0.324499 0.292182 -0.300434 -0.288555 0.343443 -0.252901 1 1 1 1 0.002878 -0.000229 0.167848 0.985809 0.059136 -0.010748 0.210733 -0.022581 0.045741 0.857956 -0.020195 -0.001191 0.000000 -20.813173 15.706383 -18.362475 -16.229887 15.547070 -17.865285 -21.556640 15.302072 -18.326749 -17.161107 15.903836 -17.534657
0.013000 0.009000 0.000000 -0.242795 0.376454 -0.264218 -0.218367 0.311220 -0.265111 -0.329993 0.293173 -0.255700 -0.320139 0.324493 -0.204942 1 1 1 1 0.002878 -0.000070 0.172215 0.985055 0.083907 0.028534 0.186342 -0.013691 0.142550 -1.004593 -0.004166 -0.005020 0.000000 -21.891725 16.156326 -19.101117 -16.971787 16.037516 -18.581788 -22.459815 15.819300 -19.072025 -17.797389 16.348024 -18.314587
0.013000 0.009000 0.000000 -0.399374 0.318963 -0.193537 -0.311597 0.338737 -0.288752 -0.325591 0.303866 -0.248153 -0.326206 0.374312 -0.295573 1 1 1 1 0.002941 -0.000039 0.176729 0.984255 -0.028838 0.019651 0.133549 0.112704 -0.035461 1.366425 0.008872 0.015630 0.000000 -22.970278 16.606268 -19.839760 -17.713687 16.527963 -19.298291 -23.362990 16.336529 -19.817302 -18.433671 16.792212 -19.094518
0.013000 0.009000 0.000000 -0.399526 0.361338 -0.273398 -0.308474 0.284126 -0.358859 -0.324345 0.369397 -0.331128 -0.404937 0.358877 -0.284993 1 1 1 1 0.003321 -0.000232 0.182051 0.983283 0.014340 0.026926 -0.014460 0.098357 -0.067165 0.895832 -0.013798 0.009991 0.000000 -24.048831 17.056211 -20.578402 -18.455587 17.018409 -20.014794 -24.266165 16.853757 -20.562578 -19.069952 17.236400 -19.874449
0.013000 0.009000 0.000000 -0.370594 0.300032 -0.246857 -0.344966 0.349999 -0.321516 -0.414169 0.393016 -0.287293 -0.341900 0.395597 -0.261365 1 1 1 1 0.003240 -0.000283 0.185246 0.982687 0.078702 0.020987 0.200731 -0.205106 0.192264 -1.226002 -0.013798 0.009991 0.000000 -25.127384 17.506153 -21.317044 -19.197486 17.508855 -20.731296 -25.169339 17.370985 -21.307855 -19.706234 17.680588 -20.654380
0.013000 0.009000 0.000000 -0.385272 0.363126 -0.312754 -0.340823 0.363725 -0.318270 -0.417846 0.406437 -0.349697 -0.391004 0.376027 -0.263934 1 1 1 1 0.003485 -0.000316 0.186954 0.982362 0.000680 -0.009624 0.472428 -0.061699 0.009279 -1.643920 0.004167 -0.009819 0.000000 -26.205936 17.956096 -22.055686 -19.939386 17.999302 -21.447799 -26.072514 17.888213 -22.053132 -20.342515 18.124776 -21.434311
0.013000 0.009000 0.000000 -0.364625 0.361179 -0.254484 -0.365493 0.367953 -0.309348 -0.400267 0.326334 -0.387485 -0.439626 0.350654 -0.309040 1 1 1 1 0.003200 -0.000540 0.194355 0.980926 0.043678 0.014958 0.262627 -0.077180 -0.020939 1.593043 0.007658 -0.029139 0.000000 -27.284489 18.406039 -22.794328 -20.681286 18.489748 -22.164302 -26.975689 18.405441 -22.798408 -20.978797 18.568964 -22.214242
0.013000 0.009000 0.000000 -0.452774 0.350318 -0.300848 -0.277632 0.382009 -0.347579 -0.415863 0.385486 -0.346499 -0.407220 0.398392 -0.333644 1 1 1 1 0.003097 -0.000533 0.198857 0.980023 -0.042455 -0.066692 0.158041 -0.046045 0.184816 -0.927089 -0.011929 -0.013429 0.000000 -27.593235 18.406650 -22.790143 -20.380409 18.488284 -22.176501 -26.666837 18.404859 -22.802384 -21.264880 18.803343 -22.388143
0.013000 0.009000 0.000000 -0.471793 0.445460 -0.291070 -0.376717 0.354189 -0.327829 -0.450120 0.360139 -0.285055 -0.423325 0.410014 -0.346162 1 1 1 1 0.003202 -0.000652 0.204452 0.978871 0.007485 0.074160 0.056556 0.135897 -0.120371 0.851326 0.001594 -0.001198 0.000000 -27.901926 18.407277 -22.785854 -20.079382 18.486827 -22.188595 -26.357934 18.404291 -22.806254 -21.529084 19.191934 -22.684608
0.013000 0.009000 0.000000 -0.359513 0.420616 -0.345777 -0.399175 0.375880 -0.297422 -0.443595 0.418921 -0.366854 -0.419456 0.352656 -0.310801 1 1 1 1 0.003426 -0.001168 0.204662 0.978826 -0.004112 0.003548 -0.022833 0.188876 0.315298 0.649454 -0.001354 -0.006438 0.000000 -28.210560 18.407917 -22.781459 -19.778207 18.485377 -22.200582 -26.048981 18.403738 -22.810020 -21.761836 19.733224 -23.101049
0.013000 0.009000 0.000000 -0.385562 0.418798 -0.335360 -0.375650 0.361979 -0.298928 -0.458599 0.394186 -0.355173 -0.435609 0.337554 -0.295144 1 1 1 1 0.003679 -0.001875 0.204580 0.978841 0.001043 0.016087 0.033888 0.372271 0.881548 0.433392 -0.004671 0.004143 0.000000 -28.519136 18.408573 -22.776960 -19.476885 18.483933 -22.212462 -25.739979 18.403199 -22.813681 -21.954413 20.425155 -23.633734
0.013000 0.009000 0.000000 -0.405819 0.380499 -0.326982 -0.414830 0.351430 -0.328622 -0.425019 0.368069 -0.448030 -0.459202 0.418223 -0.379986 1 1 1 1 0.004251 -0.002746 0.204684 0.978815 0.037939 -0.010756 -0.014404 0.429460 0.183314 -0.120038 0.014060 0.015918 0.000000 -28.827653 18.409242 -22.772356 -19.175417 18.482497 -22.224237 -25.430931 18.402676 -22.817237 -22.098908 21.265135 -24.277859
0.013000 0.009000 0.000000 -0.433233 0.454171 -0.352802 -0.353963 0.333634 -0.383321 -0.431539 0.402003 -0.364208 -0.419943 0.461900 -0.400655 1 1 1 1 0.005199 -0.003994 0.204812 0.978779 0.023124 -0.059227 -0.028801 -0.316417 -0.278132 0.145387 0.030288 0.000086 0.000000 -29.136110 18.409926 -22.767647 -18.873804 18.481069 -22.235905 -25.121837 18.402167 -22.820689 -22.188205 22.250056 -25.027633
0.013000 0.009000 0.000000 -0.512211 0.416207 -0.327717 -0.344048 0.312195 -0.348175 -0.470302 0.386533 -0.344710 -0.444697 0.414198 -0.350637 1 1 1 1 0.006062 -0.005276 0.204748 0.978782 0.062015 0.046511 0.031789 -0.350466 -0.184615 0.177279 0.011152 -0.023785 0.000000 -29.444505 18.410624 -22.762834 -18.572047 18.479648 -22.247467 -24.812698 18.401674 -22.824036 -22.215942 23.376309 -25.876366
0.013000 0.009000 0.000000 -0.500079 0.440624 -0.414446 -0.326167 0.368609 -0.395912 -0.432124 0.385724 -0.372573 -0.383681 0.523157 -0.360214 1 1 1 1 0.006616 -0.006219 0.204608 0.978802 0.096619 0.037205 0.036344 0.274478 0.261611 -0.149646 0.013341 0.022415 0.000000 -29.752836 18.411336 -22.757915 -18.270148 18.478234 -22.258923 -24.503516 18.401195 -22.827278 -22.176487 24.639789 -26.816580
0.013000 0.009000 0.000000 -0.461143 0.350585 -0.367839 -0.376789 0.358840 -0.400080 -0.449002 0.440940 -0.336702 -0.428358 0.482407 -0.413672 1 1 1 1 0.007293 -0.007221 0.204920 0.978725 0.074446 0.004690 0.080800 0.433287 0.528825 -0.238668 0.024022 0.022046 0.000000 -30.061104 18.412063 -22.752892 -17.968107 18.476829 -22.270272 -24.194293 18.400731 -22.830416 -22.064901 26.035896 -27.840109
